"company_categories","company_features","company_links","company_name","company_url","phone_number","source"
"Спецтехника и спецавтомобили;Услуги грузчиков;Перевозка негабаритных грузов","коммунальная техника","https://vk.com/pr.bratsk","Компания Персональное решение","null",73953274827,"Yandex API"
"Агентство недвижимости","","","АН Индустриальное","null",79028351016,"Yandex API"
"Стоматологическая поликлиника;Стоматологическая клиника","детская;услуги","https://vk.com/club129411917;http://izhevsk.stomatologija.su/klinika/stomatologicheskaya-klinika-32-zhemchuzhini","Стоматология 32 Жемчужины","null",79120189455,"Yandex API"
"Аптека","оплата картой","","Аптека для бережливых","null",78124426652,"Yandex API"
"Регистрационная палата;Министерства, ведомства, государственные службы","","https://twitter.com/rosreestr_info;https://vk.com/rosreestr_ru;https://www.facebook.com/rosreestr.ru","Межрайонный отдел № 2 г. Перми Управления Росреестра по Пермскому краю","null",73422836588,"Yandex API"
"Такси","","","Новое такси","null",73953453000,"Yandex API"
"Банк","кредитование частных лиц;обслуживание юридических лиц;аренда сейфовых ячеек;ПИФы;дебетовые карты;обслуживание VIP-клиентов;обслуживание физических лиц;зона самообслуживания 24h;доступность для маломобильных групп населения;обслуживает карту Мир","http://vk.com/sberbank;https://twitter.com/sberbank;https://twitter.com/sberbank/;https://vk.com/sberbank;https://www.facebook.com/sberbank;https://www.instagram.com/sberbank/;https://www.youtube.com/user/Sberbank","Сбербанк России","null",73422191224,"Yandex API"
"Магазин автозапчастей и автотоваров;Автосигнализация;Автоаксессуары;Автоакустика","запчасти для автомобилей","","Автоцентр SVauto","null",73912508516,"Yandex API"
"Электротехническая продукция;Кабель и провод;Светотехника","","","ЭлектроМИР","null",73512402001,"Yandex API"
"Магазин радиодеталей;Радиотелефонная и радиотехника;Аккумуляторы и зарядные устройства","","","Профи","null",73912702737,"Yandex API"
"Магазин радиодеталей;Радиотелефонная и радиотехника;Аккумуляторы и зарядные устройства","","https://twitter.com/siriust","Профи","null",73912702737,"Yandex API"
"Диагностический центр;Детская поликлиника","","","Консультативно-диагностический центр № 85 Отделение ЦВЛД","null",78127846409,"Yandex API"
"Диагностический центр","","","Консультативно-диагностический центр № 85 Детское отделение","null",78127846409,"Yandex API"
"Пенсионный фонд","","https://ok.ru/pensionfond/;https://twitter.com/pension_fond;https://vk.com/pension_fond;https://www.facebook.com/%D0%9F%D0%B5%D0%BD%D1%81%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9-%D1%84%D0%BE%D0%BD%D0%B4-%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9-%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B8-350819391602397;https://www.facebook.com/pages/Пенсионный-фонд-Российской-Федерации/350819391602397;https://www.facebook.com/Пенсионный-фонд-Российской-Федерации-350819391602397;https://www.youtube.com/user/pensionnijfond","Пенсионный фонд","null",73512822828,"Yandex API"
"Пенсионный фонд","","https://ok.ru/pensionfond/;https://twitter.com/pension_fond;https://vk.com/pension_fond;https://www.facebook.com/pages/Пенсионный-фонд-Российской-Федерации/350819391602397;https://www.facebook.com/Пенсионный-фонд-Российской-Федерации-350819391602397;https://www.youtube.com/user/pensionnijfond;http://budget.gov.ru/epbs/faces/p/Бюджет/Расходы/Реестр участников и неучастников бюджетного процесса?search=00404677","Отделение ПФР по Челябинской области","null",73512822828,"Yandex API"
"Сельскохозяйственная техника","","https://vk.com/public62027618","Агроарсенал","null",79123114418,"Yandex API"
"Управляющая компания;Аварийная служба;Коммунальная служба","","","Новая Волна Курган","null",73522604145,"Yandex API"
"Медцентр, клиника;Медицинская лаборатория;Медицинская помощь на дому","выезд на дом;для детей;предоставляемые справки;методы диагностики;врачи-специалисты;специализация клиники;вакцинация;выезд врача на дом","","Медицинский центр Верамед Премиум","null",74951500303,"Yandex API"
"Медцентр, клиника;Медицинская помощь на дому","для детей;оплата картой;предоставляемые справки;методы диагностики;врачи-специалисты;специализация клиники;вакцинация;выезд врача на дом","","Медицинский центр Верамед","null",74951500303,"Yandex API"
"Медцентр, клиника;Медицинская помощь на дому","для детей;предоставляемые справки;методы диагностики;врачи-специалисты;специализация клиники;вакцинация;выезд врача на дом","","Медицинский центр Верамед","null",74951500303,"Yandex API"
"Православный храм","","","Кафедральный собор Покрова Пресвятой Богородицы","null",73912123395,"Yandex API"
"Такси","","","Такси","null",78636925454,"Yandex API"
"Доставка еды и обедов","меню;кухня;минимальная сумма заказа;бесплатная доставка","https://ok.ru/group/58042289291316;https://twitter.com/@openkims_ru;https://twitter.com/openkims_ru;https://vk.com/openkims;https://www.facebook.com/openkims;https://www.instagram.com/openkims","Kim's","null",73912170000,"Yandex API"
"Поликлиника для взрослых;Детская поликлиника","","","Поликлиника № 2","null",73494973866,"Yandex API"
"Нотариусы","","","Нотариус Сахарова О. А.","null",78182210199,"Yandex API"
"Такси;Прокат автомобилей","грузоперевозки;трезвый водитель;прокат авто;перевозка животных;vip-такси;корпоративное такси;детское кресло;курьерская доставка;обслуживание торжеств;поездка в аэропорты и на вокзалы;трансфер","","Такси Браво","null",78462202020,"Yandex API"
"Такси;Автомойка;Услуги грузчиков;Переезды;Химчистка;Автомобильные грузоперевозки","химчистка салона;химчистка;мойка;химчистка на дому;оплата картой","","Док-сервис","null",73843720000,"Yandex API"
"Автосалон;Кузовной ремонт","","","Автоград кузовной ремонт","null",73452290022,"Yandex API"
"Фармацевтическая компания","","","ФК Пульс","null",74956657620,"Yandex API"
"Автомойка","химчистка салона;мойка;оплата картой;стоимость мойки кузова","","Клер Хаус","null",73842766822,"Yandex API"
"Больница для взрослых;Детская больница;Поликлиника для взрослых;Детская поликлиника","","","Буз ВО Воронежская клиническая офтальмологическая больница, консультативно-поликлиническое отделение","null",74732524417,"Yandex API"
"Коммунальная служба","","","Аркада","null",73466749563,"Yandex API"
"Строительство и ремонт дорог","","","Торсион","null",79028381513,"Yandex API"
"Парикмахерская;Ногтевая студия;Косметология;Визажисты, стилисты","косметологические услуги;цена женской стрижки;цена мужской стрижки;классический женский маникюр с покрытием;артдизайн;маникюр;педикюр;наращивание ногтей","","Венера","null",79045024151,"Yandex API"
"Ремонт бытовой техники;Компьютерный ремонт и услуги;Ремонт планшетов и ноутбуков","выезд на дом;восстановление данных;ремонт мониторов;ремонт","","Городской сервисный центр в Воронеже","null",79290064032,"Yandex API"
"Почтовое отделение","почтовые услуги;финансовые услуги;подписки, услуги;услуги связи;ЦВПП","https://twitter.com/ruspostofficial;https://vk.com/russianpost;https://www.facebook.com/ruspost","Отделение почтовой связи Кизел 618350","null",73425541871,"Yandex API"
"Кадастровые работы","","","Азимут-39","null",79062161279,"Yandex API"
"Отделение полиции","","","Отдел полиции № 4 Межмуниципальное управление МВД России Иркутское","null",73952213930,"Yandex API"
